Year;Ticker;ID_ISIN;Name;ESG;ENVIRONMENTAL;SOCIAL;GOVERNANCE;AIR_QUALITY;CLIMATE_EXPOS;ECOLOGICAL_IMPACT;ENERGY_MANAGEMENT;ENV_SPPLY_CHAIN_MGMT;GHG_EMISSIONS_MNGT;SUSTAINABLE_FINANCE;SUSTAINABLE_PRODUCT;WASTE_MANAGEMENT;WATER_MANAGEMENT;ACCESS_AFFORDABILITY;COMM_RIGHTS_RELATION;CUSTOMER_WELFARE;DATA_SEC_CSTMR_PRIVCY;ETHICS_COMPLIANCE;LABOR_EMPLYMNT_PRACT;MARKETING_LABELING;OHS_MGMT;OPERATION_RISK_MGMT;PRODUCT_QUALITY_MNGT;SOCIAL_SPPL_CHN_MGMT;BOD_DIRECTOR_ROLES;BOD_DIVERSITY;BOD_INDEPENDENCE;BOD_REFRESHMENT;INCENTIVE_STRUCTURE;PAY_PERFORMANCE;PAY_GOVERNANCE;DIRECTOR_VOTING;SHAREHOLDER_POLICIES;AUDIT_CMTE;AUDIT_OUTCOME;EXTERNAL_AUDITOR;SALES_REV_TURN;EBITDA;EBIT;PRETAX_INC;NET_INCOME;BS_TOT_ASSET;EARN_FOR_COMMON;TOT_COMMON_EQY;TOTAL_EQUITY;BS_LT_BORROW;IS_RD_EXPEND;BS_CUR_ASSET_REPORT;BS_CUR_LIAB;BS_SH_OUT;PX_LAST;BS_TOT_LIAB2;PFD_EQTY_HYBRID_CAPITAL;MINORITY_NONCONTROLLING_INTEREST;CURRENT_FULL_FISCAL_YEAR_END;EBIT_ON_ASSET;RETURN_ON_ASSET;RETURN_COM_EQY;TOBIN_Q_RATIO;SALES_GROWTH;LT_DEBT_TO_TOT_ASSET;RD_EXPEND_TO_NET_SALES;CUR_RATIO;BETA_RAW_OVERRIDABLE;GICS_SECTOR_NAME
2017;DLR UN Equity;US2538681030;Digital Realty Trust Inc;#N/A N/A;#N/A N/A;#N/A N/A;7,68;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;8,52;3,85;10,00;7,93;8,06;9,08;8,33;6,21;7,54;9,49;10,00;6,86; $2.457.928.000,00 ; $1.046.291.000,00 ; $451.295.000,00 ; $264.168.000,00 ; $248.259.000,00 ; $21.404.345.000,00 ; $173.148.000,00 ; $9.082.831.000,00 ; $11.103.352.000,00 ; $106.582.000,00 ; #N/A ; #N/A ; #N/A ; 205.470.300,00 ; $113,90 ; $10.300.993.000,00 ; $1.266.250.000,00 ; $754.271.000,00 ;31.12.2023;2,11%;1,48%;2,64%;1,54;14,74%;0,50%;#WERT!;#N/A;0,44;Real Estate
2018;DLR UN Equity;US2538681030;Digital Realty Trust Inc;#N/A N/A;#N/A N/A;#N/A N/A;7,28;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;7,73;2,99;10,00;8,76;7,50;7,30;8,97;5,34;8,06;9,49;10,00;5,34; $3.046.478.000,00 ; $1.320.062.000,00 ; $549.787.000,00 ; $343.199.000,00 ; $331.246.000,00 ; $23.766.695.000,00 ; $249.930.000,00 ; $8.592.394.000,00 ; $10.874.042.000,00 ; $685.714.000,00 ; #N/A ; #N/A ; #N/A ; 206.425.656,00 ; $106,55 ; $12.892.653.000,00 ; $1.266.250.000,00 ; $1.015.398.000,00 ;31.12.2023;2,31%;1,47%;2,83%;1,51;23,94%;2,89%;#WERT!;#N/A;0,60;Real Estate
2019;DLR UN Equity;US2538681030;Digital Realty Trust Inc;#N/A N/A;#N/A N/A;#N/A N/A;7,52;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;7,65;3,02;10,00;9,96;7,94;6,78;8,67;6,13;8,06;9,49;10,00;6,21; $3.209.241.000,00 ; $1.494.667.000,00 ; $594.215.000,00 ; $611.216.000,00 ; $579.761.000,00 ; $23.068.131.000,00 ; $493.011.000,00 ; $8.268.062.000,00 ; $10.649.565.000,00 ; $798.473.000,00 ; #N/A ; #N/A ; #N/A ; 208.900.758,00 ; $119,74 ; $12.418.566.000,00 ; $1.611.250.000,00 ; $770.253.000,00 ;31.12.2023;2,58%;2,48%;5,85%;1,55;5,34%;3,46%;#WERT!;#N/A;0,56;Real Estate
2020;DLR UN Equity;US2538681030;Digital Realty Trust Inc;#N/A N/A;#N/A N/A;#N/A N/A;7,76;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;7,82;5,05;10,00;9,55;8,04;5,91;8,34;5,83;8,06;9,49;10,00;8,90; $3.903.609.000,00 ; $2.053.304.000,00 ; $557.526.000,00 ; $400.777.000,00 ; $356.397.000,00 ; $36.076.291.000,00 ; $263.341.000,00 ; $16.761.447.000,00 ; $18.488.347.000,00 ; $1.707.934.000,00 ; #N/A ; #N/A ; #N/A ; 280.289.726,00 ; $139,51 ; $17.587.944.000,00 ; $956.250.000,00 ; $770.650.000,00 ;31.12.2023;1,55%;1,21%;2,10%;1,91;21,64%;4,73%;#WERT!;#N/A;0,64;Real Estate
2021;DLR UN Equity;US2538681030;Digital Realty Trust Inc;4,62;6,82;0,21;7,57;#N/A N/A;5,00;5,74;6,66;#N/A N/A;#N/A N/A;#N/A N/A;5,00;#N/A N/A;8,26;#N/A N/A;0,00;#N/A N/A;0,75;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;7,46;5,20;10,00;9,74;8,27;5,59;8,30;4,70;8,06;9,49;10,00;8,78; $4.427.883.000,00 ; $2.324.444.000,00 ; $694.012.000,00 ; $1.820.214.000,00 ; $1.709.262.000,00 ; $36.369.560.000,00 ; $1.681.501.000,00 ; $17.249.568.000,00 ; $18.523.782.000,00 ; $1.877.445.000,00 ; #N/A ; #N/A ; #N/A ; 284.415.013,00 ; $176,87 ; $17.845.778.000,00 ; $755.000.000,00 ; $519.214.000,00 ;31.12.2023;1,91%;4,72%;9,89%;1,91;13,43%;5,16%;#WERT!;#N/A;0,58;Real Estate
2022;DLR UN Equity;US2538681030;Digital Realty Trust Inc;5,99;6,55;3,75;7,64;#N/A N/A;5,00;5,74;6,08;#N/A N/A;#N/A N/A;#N/A N/A;5,00;#N/A N/A;8,23;#N/A N/A;3,00;#N/A N/A;8,94;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;1,50;#N/A N/A;#N/A N/A;3,91;6,10;10,00;7,62;7,93;6,55;8,29;7,95;8,06;9,49;10,00;8,84; $4.691.834.000,00 ; $2.311.902.000,00 ; $589.969.000,00 ; $411.877.000,00 ; $377.871.000,00 ; $41.484.998.000,00 ; $337.147.000,00 ; $16.828.334.000,00 ; $19.622.144.000,00 ; $1.999.914.000,00 ; #N/A ; #N/A ; #N/A ; 291.148.000,00 ; $100,27 ; $21.862.854.000,00 ; $755.000.000,00 ; $2.038.810.000,00 ;31.12.2023;1,42%;0,97%;1,98%;1,30;5,96%;4,82%;#WERT!;#N/A;0,78;Real Estate
2023;DLR UN Equity;US2538681030;Digital Realty Trust Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $5.477.061.000,00 ; $2.372.520.000,00 ; $524.461.000,00 ; $1.025.891.000,00 ; $948.838.000,00 ; $44.113.258.000,00 ; $908.114.000,00 ; $18.362.534.000,00 ; $20.996.321.000,00 ; $2.173.067.000,00 ; #N/A ; #N/A ; #N/A ; 311.608.000,00 ; $134,58 ; $23.116.937.000,00 ; $755.000.000,00 ; $1.878.787.000,00 ;31.12.2023;1,19%;2,22%;5,16%;1,83;16,74%;4,93%;#WERT!;#N/A;0,96;Real Estate
2015;DLTR UW Equity;US2567461080;Dollar Tree Inc;1,82;0,00;1,11;6,45;#N/A N/A;#N/A N/A;#N/A N/A;0,00;0,00;0,00;#N/A N/A;0,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;2,00;#N/A N/A;1,10;0,00;0,00;#N/A N/A;0,60;3,00;9,57;2,23;7,70;1,49;8,27;7,06;8,61;9,17;3,41;9,49;10,00;8,72; $15.498.400.000,00 ; $1.537.300.000,00 ; $1.049.700.000,00 ; $448.200.000,00 ; $282.400.000,00 ; $15.901.200.000,00 ; $282.400.000,00 ; $4.406.900.000,00 ; $4.406.900.000,00 ; $7.238.400.000,00 ; $-   ; $3.935.900.000,00 ; $2.095.400.000,00 ; 234.968.078,00 ; $77,22 ; $11.494.300.000,00 ; $-   ; $-   ;03.02.2024;6,60%;2,91%;9,12%;2,81;80,17%;45,52%;0,00%;1,88;0,80;Consumer Staples
2016;DLTR UW Equity;US2567461080;Dollar Tree Inc;1,92;0,23;1,11;6,47;#N/A N/A;#N/A N/A;#N/A N/A;0,00;0,00;3,00;#N/A N/A;0,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;2,00;#N/A N/A;1,10;0,00;0,00;#N/A N/A;0,60;3,00;9,55;2,09;7,21;1,42;7,97;6,56;8,86;9,25;4,23;9,49;10,00;8,84; $20.719.200.000,00 ; $2.342.300.000,00 ; $1.704.800.000,00 ; $1.329.400.000,00 ; $896.200.000,00 ; $15.701.600.000,00 ; $896.200.000,00 ; $5.389.500.000,00 ; $5.389.500.000,00 ; $6.169.700.000,00 ; $-   ; $3.938.000.000,00 ; $2.105.900.000,00 ; 236.136.439,00 ; $77,18 ; $10.312.100.000,00 ; $-   ; $-   ;03.02.2024;10,86%;5,67%;18,30%;2,78;33,69%;39,29%;0,00%;1,87;0,91;Consumer Staples
2017;DLTR UW Equity;US2567461080;Dollar Tree Inc;1,95;0,23;1,11;6,64;#N/A N/A;#N/A N/A;#N/A N/A;0,00;0,00;3,00;#N/A N/A;0,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;2,00;#N/A N/A;1,10;0,00;0,00;#N/A N/A;0,60;3,00;8,79;2,07;8,50;1,48;8,35;7,41;8,65;9,07;4,63;9,49;10,00;8,65; $22.245.500.000,00 ; $2.610.300.000,00 ; $1.999.100.000,00 ; $1.704.000.000,00 ; $1.714.300.000,00 ; $16.332.800.000,00 ; $1.714.300.000,00 ; $7.182.300.000,00 ; $7.182.300.000,00 ; $4.762.100.000,00 ; $-   ; $4.576.300.000,00 ; $2.859.100.000,00 ; 236.136.439,00 ; $107,31 ; $9.150.500.000,00 ; $-   ; $-   ;03.02.2024;12,24%;10,70%;27,27%;2,61;7,37%;29,16%;0,00%;1,60;1,03;Consumer Staples
2018;DLTR UW Equity;US2567461080;Dollar Tree Inc;2,04;0,04;1,31;7,08;#N/A N/A;#N/A N/A;#N/A N/A;0,00;0,34;0,00;#N/A N/A;0,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;2,00;#N/A N/A;1,10;0,00;0,00;#N/A N/A;1,20;3,00;8,81;3,37;8,05;4,05;8,47;6,81;8,84;9,23;4,63;9,49;10,00;8,45; $22.823.300.000,00 ; $-318.400.000,00 ; $-939.500.000,00 ; $-1.309.000.000,00 ; $-1.590.800.000,00 ; $13.501.200.000,00 ; $-1.590.800.000,00 ; $5.642.900.000,00 ; $5.642.900.000,00 ; $4.265.300.000,00 ; $-   ; $4.293.300.000,00 ; $2.095.700.000,00 ; 238.081.664,00 ; $90,32 ; $7.858.300.000,00 ; $-   ; $-   ;03.02.2024;-6,96%;-10,66%;-24,81%;3,08;2,60%;31,59%;0,00%;2,05;0,65;Consumer Staples
2019;DLTR UW Equity;US2567461080;Dollar Tree Inc;2,06;0,04;1,31;7,19;#N/A N/A;#N/A N/A;#N/A N/A;0,00;0,34;0,00;#N/A N/A;0,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;2,00;#N/A N/A;1,10;0,00;0,00;#N/A N/A;1,20;3,00;9,48;2,29;8,05;5,74;8,21;7,37;9,26;9,21;4,63;9,49;10,00;7,75; $23.610.800.000,00 ; $3.428.100.000,00 ; $1.262.200.000,00 ; $1.098.700.000,00 ; $827.000.000,00 ; $19.574.600.000,00 ; $827.000.000,00 ; $6.254.800.000,00 ; $6.254.800.000,00 ; $8.501.700.000,00 ; $-   ; $4.269.400.000,00 ; $3.546.500.000,00 ; 236.726.563,00 ; $94,05 ; $13.319.800.000,00 ; $-   ; $-   ;03.02.2024;6,45%;5,00%;13,90%;2,39;3,45%;43,43%;0,00%;1,20;0,45;Consumer Staples
2020;DLTR UW Equity;US2567461080;Dollar Tree Inc;2,38;0,54;1,54;7,09;#N/A N/A;#N/A N/A;#N/A N/A;1,23;0,34;4,22;#N/A N/A;0,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;2,00;#N/A N/A;2,68;0,00;0,00;#N/A N/A;1,20;3,00;9,50;3,32;8,22;5,77;7,98;8,19;8,99;6,96;4,63;9,49;10,00;7,58; $25.509.300.000,00 ; $4.125.700.000,00 ; $1.887.900.000,00 ; $1.739.800.000,00 ; $1.341.900.000,00 ; $20.696.000.000,00 ; $1.341.900.000,00 ; $7.285.300.000,00 ; $7.285.300.000,00 ; $8.291.700.000,00 ; $-   ; $5.050.800.000,00 ; $3.730.300.000,00 ; 225.100.198,00 ; $108,04 ; $13.410.700.000,00 ; $-   ; $-   ;03.02.2024;9,12%;6,66%;19,82%;2,18;8,04%;40,06%;0,00%;1,35;0,53;Consumer Staples
2021;DLTR UW Equity;US2567461080;Dollar Tree Inc;3,06;1,77;1,97;7,11;#N/A N/A;#N/A N/A;#N/A N/A;2,96;0,34;6,15;#N/A N/A;3,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;2,00;#N/A N/A;4,69;0,00;0,00;#N/A N/A;1,80;3,00;8,86;4,42;8,22;6,22;7,81;7,11;8,80;7,25;4,63;9,49;10,00;7,30; $26.321.200.000,00 ; $4.130.200.000,00 ; $1.811.400.000,00 ; $1.632.200.000,00 ; $1.327.900.000,00 ; $21.721.800.000,00 ; $1.327.900.000,00 ; $7.718.500.000,00 ; $7.718.500.000,00 ; $8.562.500.000,00 ; $-   ; $5.609.200.000,00 ; $4.176.600.000,00 ; 225.100.198,00 ; $140,52 ; $14.003.300.000,00 ; $-   ; $-   ;03.02.2024;8,34%;6,26%;17,70%;2,10;3,18%;39,42%;0,00%;1,34;0,57;Consumer Staples
2022;DLTR UW Equity;US2567461080;Dollar Tree Inc;3,14;1,76;1,97;7,55;#N/A N/A;#N/A N/A;#N/A N/A;2,90;0,34;6,14;#N/A N/A;3,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;2,00;#N/A N/A;4,69;0,00;0,00;#N/A N/A;1,80;3,00;9,53;5,12;7,84;7,20;7,67;7,95;8,50;9,27;4,63;9,49;10,00;7,09; $28.331.700.000,00 ; $4.657.000.000,00 ; $2.236.300.000,00 ; $2.110.600.000,00 ; $1.615.400.000,00 ; $23.022.100.000,00 ; $1.615.400.000,00 ; $8.751.500.000,00 ; $8.751.500.000,00 ; $8.676.900.000,00 ; $-   ; $6.367.100.000,00 ; $4.225.200.000,00 ; 221.222.984,00 ; $141,44 ; $14.270.600.000,00 ; $-   ; $-   ;03.02.2024;9,71%;7,22%;19,62%;1,98;7,64%;37,69%;0,00%;1,51;0,78;Consumer Staples
2023;DLTR UW Equity;US2567461080;Dollar Tree Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $30.603.800.000,00 ; $1.672.200.000,00 ; $-881.800.000,00 ; $-988.700.000,00 ; $-998.400.000,00 ; $22.023.500.000,00 ; $-998.400.000,00 ; $7.313.100.000,00 ; $7.313.100.000,00 ; $8.873.900.000,00 ; $-   ; $6.132.700.000,00 ; $4.696.700.000,00 ; 217.907.206,00 ; $142,05 ; $14.710.400.000,00 ; $-   ; $-   ;03.02.2024;-4,00%;-4,43%;-12,43%;2,06;8,02%;40,29%;0,00%;1,31;1,00;Consumer Staples
2015;DOC US Equity;US42250P1030;Healthpeak Properties Inc;4,12;1,92;7,52;6,74;#N/A N/A;0,00;#N/A N/A;3,15;#N/A N/A;2,15;#N/A N/A;0,00;#N/A N/A;3,76;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;7,52;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;2,61;4,16;10,00;6,11;7,66;6,05;9,41;8,85;5,50;9,74;10,00;5,33; $1.940.489.000,00 ; $1.128.899.000,00 ; $593.282.000,00 ; $142.861.000,00 ; $-559.235.000,00 ; $21.449.849.000,00 ; $-560.552.000,00 ; $9.343.643.000,00 ; $9.746.317.000,00 ; $1.026.657.000,00 ; #N/A ; #N/A ; #N/A ; 465.488.492,00 ; $34,81 ; $11.703.532.000,00 ; $-   ; $402.674.000,00 ;31.12.2023;2,77%;-2,61%;-5,58%;1,11;18,55%;4,79%;#WERT!;#N/A;0,38;Real Estate
2016;DOC US Equity;US42250P1030;Healthpeak Properties Inc;3,88;1,89;7,52;6,01;#N/A N/A;0,00;#N/A N/A;3,15;#N/A N/A;2,17;#N/A N/A;0,00;#N/A N/A;3,60;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;7,52;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;2,65;2,74;5,12;5,48;8,23;4,39;9,05;8,77;5,50;9,97;10,00;5,59; $2.129.294.000,00 ; $1.305.237.000,00 ; $709.355.000,00 ; $378.644.000,00 ; $627.747.000,00 ; $15.759.265.000,00 ; $626.549.000,00 ; $5.547.595.000,00 ; $5.941.308.000,00 ; $716.177.000,00 ; #N/A ; #N/A ; #N/A ; 468.081.489,00 ; $29,72 ; $9.817.957.000,00 ; $-   ; $393.713.000,00 ;31.12.2023;4,50%;3,37%;8,42%;1,39;9,73%;4,54%;#WERT!;#N/A;0,45;Real Estate
2017;DOC US Equity;US42250P1030;Healthpeak Properties Inc;4,35;2,46;7,52;6,37;#N/A N/A;0,00;#N/A N/A;3,21;#N/A N/A;2,54;#N/A N/A;0,00;#N/A N/A;6,55;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;7,52;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;4,90;2,57;5,41;5,62;8,40;5,94;8,95;8,53;5,50;10,00;10,00;5,18; $1.848.378.000,00 ; $933.266.000,00 ; $384.282.000,00 ; $421.301.000,00 ; $414.169.000,00 ; $14.088.461.000,00 ; $413.013.000,00 ; $5.301.005.000,00 ; $5.594.938.000,00 ; $238.651.000,00 ; #N/A ; #N/A ; #N/A ; 469.435.678,00 ; $26,08 ; $8.493.523.000,00 ; $-   ; $293.933.000,00 ;31.12.2023;2,73%;2,78%;7,61%;1,46;-13,19%;1,69%;#WERT!;#N/A;0,62;Real Estate
2018;DOC US Equity;US42250P1030;Healthpeak Properties Inc;4,56;2,49;6,25;7,42;#N/A N/A;0,00;#N/A N/A;3,21;#N/A N/A;2,15;#N/A N/A;0,00;#N/A N/A;7,06;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,25;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;9,49;6,06;10,00;5,35;8,52;3,98;8,99;9,27;5,50;10,00;10,00;5,25; $1.191.320.000,00 ; $865.288.000,00 ; $299.226.000,00 ; $832.822.000,00 ; $1.061.093.000,00 ; $12.718.553.000,00 ; $1.058.424.000,00 ; $5.944.439.000,00 ; $6.512.591.000,00 ; $229.255.000,00 ; #N/A ; #N/A ; #N/A ; 477.496.499,00 ; $27,93 ; $6.205.962.000,00 ; $-   ; $568.152.000,00 ;31.12.2023;2,35%;7,92%;18,82%;1,47;-35,55%;1,80%;#WERT!;#N/A;0,49;Real Estate
2019;DOC US Equity;US42250P1030;Healthpeak Properties Inc;5,59;4,01;6,58;7,66;#N/A N/A;1,00;#N/A N/A;4,23;#N/A N/A;4,92;#N/A N/A;2,80;#N/A N/A;7,22;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,58;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;9,37;9,00;10,00;8,58;8,52;2,49;8,85;8,91;5,50;10,00;7,31;5,29; $1.240.339.000,00 ; $977.270.000,00 ; $287.267.000,00 ; $169.990.000,00 ; $45.530.000,00 ; $14.032.891.000,00 ; $43.987.000,00 ; $6.085.058.000,00 ; $6.667.474.000,00 ; $164.717.000,00 ; #N/A ; #N/A ; #N/A ; 505.221.643,00 ; $34,47 ; $7.365.417.000,00 ; $-   ; $582.416.000,00 ;31.12.2023;2,05%;0,34%;0,73%;1,47;4,11%;1,17%;#WERT!;#N/A;0,24;Real Estate
2020;DOC US Equity;US42250P1030;Healthpeak Properties Inc;5,27;3,57;6,86;7,38;#N/A N/A;1,00;#N/A N/A;3,86;#N/A N/A;5,13;#N/A N/A;2,80;#N/A N/A;5,38;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,86;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;8,44;8,88;10,00;9,12;8,47;1,97;8,65;7,54;5,50;10,00;10,00;4,51; $1.644.875.000,00 ; $882.009.000,00 ; $153.897.000,00 ; $151.084.000,00 ; $413.563.000,00 ; $15.920.089.000,00 ; $411.147.000,00 ; $6.788.345.000,00 ; $7.344.572.000,00 ; $401.516.000,00 ; #N/A ; #N/A ; #N/A ; 538.405.393,00 ; $30,23 ; $8.575.517.000,00 ; $-   ; $556.227.000,00 ;31.12.2023;0,97%;2,76%;6,39%;1,79;32,61%;2,52%;#WERT!;#N/A;1,30;Real Estate
2021;DOC US Equity;US42250P1030;Healthpeak Properties Inc;5,35;3,35;7,56;7,78;#N/A N/A;1,00;#N/A N/A;3,87;#N/A N/A;5,64;#N/A N/A;2,08;#N/A N/A;4,61;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;7,56;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;8,44;8,70;10,00;9,66;8,45;2,32;9,01;9,46;5,50;10,00;10,00;5,49; $1.896.184.000,00 ; $1.017.803.000,00 ; $315.315.000,00 ; $134.467.000,00 ; $505.540.000,00 ; $15.257.519.000,00 ; $502.271.000,00 ; $6.515.470.000,00 ; $7.146.104.000,00 ; $556.628.000,00 ; #N/A ; #N/A ; #N/A ; 538.405.393,00 ; $36,09 ; $8.111.415.000,00 ; $-   ; $630.634.000,00 ;31.12.2023;2,07%;3,24%;7,55%;1,85;15,28%;3,65%;#WERT!;#N/A;1,47;Real Estate
2022;DOC US Equity;US42250P1030;Healthpeak Properties Inc;5,47;3,25;8,37;8,07;#N/A N/A;2,00;#N/A N/A;3,72;#N/A N/A;5,27;#N/A N/A;1,00;#N/A N/A;4,38;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;8,37;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;9,32;8,30;9,54;9,60;8,35;5,68;8,99;9,01;5,50;10,00;10,00;5,10; $2.061.178.000,00 ; $1.081.753.000,00 ; $344.728.000,00 ; $509.115.000,00 ; $500.449.000,00 ; $15.771.229.000,00 ; $497.792.000,00 ; $6.654.701.000,00 ; $7.288.277.000,00 ; $555.114.000,00 ; #N/A ; #N/A ; #N/A ; 546.641.973,00 ; $25,07 ; $8.482.952.000,00 ; $-   ; $633.576.000,00 ;31.12.2023;2,19%;3,23%;7,56%;1,45;8,70%;3,52%;#WERT!;#N/A;1,36;Real Estate
2023;DOC US Equity;US42250P1030;Healthpeak Properties Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $2.181.003.000,00 ; $1.186.377.000,00 ; $421.996.000,00 ; $325.140.000,00 ; $306.009.000,00 ; $15.698.850.000,00 ; $304.284.000,00 ; $6.350.446.000,00 ; $6.924.870.000,00 ; $462.840.000,00 ; #N/A ; #N/A ; #N/A ; 547.156.311,00 ; $19,80 ; $8.773.980.000,00 ; $-   ; $574.424.000,00 ;31.12.2023;2,69%;1,94%;4,68%;1,85;5,81%;2,95%;#WERT!;#N/A;0,89;Real Estate
2015;DOV UN Equity;US2600031080;Dover Corp;2,91;0,00;3,00;7,58;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;#N/A N/A;3,00;#N/A N/A;8,40;3,05;9,24;5,55;8,52;9,20;9,49;7,09;6,97;9,49;10,00;8,50; $6.956.311.000,00 ; $1.247.851.000,00 ; $920.762.000,00 ; $800.610.000,00 ; $869.829.000,00 ; $8.606.076.000,00 ; $869.829.000,00 ; $3.644.575.000,00 ; $3.644.575.000,00 ; $2.603.655.000,00 ; $115.037.000,00 ; $2.419.010.000,00 ; $1.367.182.000,00 ; 155.003.757,00 ; $49,49 ; $4.961.501.000,00 ; $-   ; $-   ;31.12.2023;10,70%;9,86%;23,68%;3,02;-10,27%;30,25%;1,65%;1,77;1,31;Industrials
